Id,MSSubClass,MSZoning,LotFrontage,LotArea,Street,Alley,LotShape,LandContour,Utilities,LotConfig,LandSlope,Neighborhood,Condition1,Condition2,BldgType,HouseStyle,OverallQual,OverallCond,YearBuilt,YearRemodAdd,RoofStyle,RoofMatl,Exterior1st,Exterior2nd,MasVnrType,MasVnrArea,ExterQual,ExterCond,Foundation,BsmtQual,BsmtCond,BsmtExposure,BsmtFinType1,BsmtFinSF1,BsmtFinType2,BsmtFinSF2,BsmtUnfSF,TotalBsmtSF,Heating,HeatingQC,CentralAir,Electrical,1stFlrSF,2ndFlrSF,LowQualFinSF,GrLivArea,BsmtFullBath,BsmtHalfBath,FullBath,HalfBath,BedroomAbvGr,KitchenAbvGr,KitchenQual,TotRmsAbvGrd,Functional,Fireplaces,FireplaceQu,GarageType,GarageYrBlt,GarageFinish,GarageCars,GarageArea,GarageQual,GarageCond,PavedDrive,WoodDeckSF,OpenPorchSF,EnclosedPorch,3SsnPorch,ScreenPorch,PoolArea,PoolQC,Fence,MiscFeature,MiscVal,MoSold,YrSold,SaleType,SaleCondition,SalePrice
0,53,RL,58,9183,Pave,NA,Reg,Lvl,AllPub,Inside,Gtl,CollgCr,Norm,Norm,1Fam,2Story,2,8,7334,7334,Gable,CompShg,VinylSd,VinylSd,BrkFace,065,Gd,TA,PConc,Gd,TA,No,GLQ,235,Unf,3,083,985,GasA,Ex,Y,SBrkr,985,981,3,0203,0,3,7,0,4,0,Gd,9,Typ,3,NA,Attchd,7334,RFn,7,819,TA,TA,Y,3,50,3,3,3,3,NA,NA,NA,3,7,7339,WD,Normal,246944
2,73,RL,93,6533,Pave,NA,Reg,Lvl,AllPub,FR2,Gtl,Veenker,Feedr,Norm,1Fam,1Story,5,9,0625,0625,Gable,CompShg,MetalSd,MetalSd,None,3,TA,TA,CBlock,Gd,TA,Gd,ALQ,629,Unf,3,791,0757,GasA,Ex,Y,SBrkr,0757,3,3,0757,3,0,7,3,4,0,TA,5,Typ,0,TA,Attchd,0625,RFn,7,153,TA,TA,Y,769,3,3,3,3,3,NA,NA,NA,3,8,7332,WD,Normal,363944
1,53,RL,59,00783,Pave,NA,IR1,Lvl,AllPub,Inside,Gtl,CollgCr,Norm,Norm,1Fam,2Story,2,8,7330,7337,Gable,CompShg,VinylSd,VinylSd,BrkFace,057,Gd,TA,PConc,Gd,TA,Mn,GLQ,195,Unf,3,141,673,GasA,Ex,Y,SBrkr,673,955,3,0295,0,3,7,0,4,0,Gd,5,Typ,0,TA,Attchd,7330,RFn,7,539,TA,TA,Y,3,17,3,3,3,3,NA,NA,NA,3,6,7339,WD,Normal,221944
0,23,RL,53,6883,Pave,NA,IR1,Lvl,AllPub,Corner,Gtl,Crawfor,Norm,Norm,1Fam,2Story,2,8,0608,0623,Gable,CompShg,Persona1,Persona2,None,3,TA,TA,BrkTil,TA,Gd,No,ALQ,705,Unf,3,813,285,GasA,Gd,Y,SBrkr,650,285,3,0202,0,3,0,3,4,0,Gd,2,Typ,0,Gd,Detchd,0669,Unf,4,517,TA,TA,Y,3,48,727,3,3,3,NA,NA,NA,3,7,7335,WD,Abnorml,304444
9,53,RL,91,01753,Pave,NA,IR1,Lvl,AllPub,FR2,Gtl,NoRidge,Norm,Norm,1Fam,2Story,9,8,7333,7333,Gable,CompShg,VinylSd,VinylSd,BrkFace,483,Gd,TA,PConc,Gd,TA,Av,GLQ,588,Unf,3,163,0018,GasA,Ex,Y,SBrkr,0018,0384,3,7069,0,3,7,0,1,0,Gd,6,Typ,0,TA,Attchd,7333,RFn,4,945,TA,TA,Y,067,91,3,3,3,3,NA,NA,NA,3,07,7339,WD,Normal,294444
8,83,RL,98,01008,Pave,NA,IR1,Lvl,AllPub,Inside,Gtl,Mitchel,Norm,Norm,1Fam,0.5Fin,8,8,0664,0668,Gable,CompShg,VinylSd,VinylSd,None,3,TA,TA,Wood,Gd,TA,No,GLQ,247,Unf,3,51,265,GasA,Ex,Y,SBrkr,265,855,3,0457,0,3,0,0,0,0,TA,8,Typ,3,NA,Attchd,0664,Unf,7,193,TA,TA,Y,13,43,3,473,3,3,NA,MnPrv,Shed,233,03,7336,WD,Normal,301444
7,73,RL,28,03391,Pave,NA,Reg,Lvl,AllPub,Inside,Gtl,Somerst,Norm,Norm,1Fam,1Story,9,8,7331,7338,Gable,CompShg,VinylSd,VinylSd,Stone,095,Gd,TA,PConc,Ex,TA,Av,GLQ,0456,Unf,3,402,0595,GasA,Ex,Y,SBrkr,0561,3,3,0561,0,3,7,3,4,0,Gd,2,Typ,0,Gd,Attchd,7331,RFn,7,545,TA,TA,Y,788,82,3,3,3,3,NA,NA,NA,3,9,7332,WD,Normal,147444
6,53,RL,NA,03497,Pave,NA,IR1,Lvl,AllPub,Corner,Gtl,NWAmes,PosN,Norm,1Fam,2Story,2,5,0624,0624,Gable,CompShg,HdBoard,HdBoard,Stone,713,TA,TA,CBlock,Gd,TA,Mn,ALQ,986,BLQ,47,705,0032,GasA,Ex,Y,SBrkr,0032,694,3,7363,0,3,7,0,4,0,TA,2,Typ,7,TA,Attchd,0624,RFn,7,191,TA,TA,Y,748,731,779,3,3,3,NA,NA,Shed,483,00,7336,WD,Normal,244444
5,83,RM,80,5073,Pave,NA,Reg,Lvl,AllPub,Inside,Gtl,OldTown,Artery,Norm,1Fam,0.5Fin,2,8,0640,0683,Gable,CompShg,BrkFace,Persona2,None,3,TA,TA,BrkTil,TA,TA,No,Unf,3,Unf,3,687,687,GasA,Gd,Y,FuseF,0377,287,3,0221,3,3,7,3,7,7,TA,9,Min1,7,TA,Detchd,0640,Unf,7,159,Fa,TA,Y,63,3,738,3,3,3,NA,NA,NA,3,1,7339,WD,Abnorml,325544
34,063,RL,83,2173,Pave,NA,Reg,Lvl,AllPub,Corner,Gtl,BrkSide,Artery,Artery,2fmCon,0.5Unf,8,5,0646,0683,Gable,CompShg,MetalSd,MetalSd,None,3,TA,TA,BrkTil,TA,TA,No,GLQ,980,Unf,3,013,660,GasA,Ex,Y,SBrkr,0322,3,3,0322,0,3,0,3,7,7,TA,8,Typ,7,TA,Attchd,0646,RFn,0,738,Gd,TA,Y,3,1,3,3,3,3,NA,NA,NA,3,0,7339,WD,Normal,336444
