ID,Year,Mileage,State,Make,Model
3,7301,40636, MD,Nissan,MuranoAWD
0,7302,8457, FL,Jeep,Wrangler
7,7301,83433, OH,Ford,FlexLimited
4,7331,047053, WA,BMW,8
1,7308,78775, MA,Jeep,Grand
8,7302,78591, AZ,Chevrolet,CruzeSedan
5,7305,85075, AZ,Kia,SorentoEX
2,7308,79252, FL,Lexus,IS
9,7308,89690, TX,Chevrolet,Suburban4WD
6,7305,73932, NJ,Hyundai,ElantraLimited
03,7308,48244, KY,Subaru,Legacy2.5i
00,7305,76967, TN,Ford,FusionSE
07,7308,75121, OH,Nissan,Armada4WD
04,7305,05633, TN,Honda,Civic
01,7304,89148, UT,Ford,Super
08,7339,093030, AR,Nissan,Altima4dr
05,7301,28427, FL,Lexus,GS
02,7308,45503, FL,Jeep,Wrangler
09,7301,97239, AZ,Hyundai,Santa
06,7307,16733, CO,Ford,ExplorerLimited
73,7334,89333, TX,Audi,TT2dr
70,7302,74835, MO,Kia,SedonaLX
77,7301,04163, MD,Honda,CivicEX-L
74,7308,10519, NC,Ford,EscapeFWD
71,7302,40600, CA,Buick,EnclaveLeather
78,7304,97846, MA,Ford,EdgeLimited
75,7301,79933, TX,BMW,4
72,7301,47525, CA,BMW,8
79,7305,07273, CA,Toyota,RAV4FWD
76,7305,42072, TX,Toyota,AvalonLimited
43,7304,19630, NY,INFINITI,G32
40,7305,06262, TX,Toyota,Tundra
47,7305,83455, MI,Jeep,PatriotSport
44,7304,031222, TN,Chevrolet,Silverado
41,7301,19083, GA,Chrysler,433430S
48,7304,16036, SD,Dodge,ChargerSXT
45,7300,55640, TN,Ram,08334WD
42,7302,2491, TX,Chevrolet,Silverado
49,7305,42058, CA,Chevrolet,Suburban2WD
46,7308,75857, TX,Ford,F-0834WD
13,7302,71235, OH,Toyota,CorollaLE
10,7308,73951, FL,Chevrolet,MalibuLS
17,7308,79314, TX,Nissan,Pathfinder4WD
14,7308,99607, TX,GMC,Yukon2WD
11,7308,06550, NC,Ford,Super
18,7301,22556, MS,Toyota,CamryXLE
15,7307,21959, PA,Ford,F-080XLT
12,7303,61933, CA,Land,Rover
19,7308,83165, VA,Subaru,Legacy2.5i
16,7305,06884, OH,Chevrolet,Malibu
83,7301,81473, MN,Ford,FusionSE
80,7301,11926, FL,Chrysler,Town
87,7300,91319, CA,BMW,8
84,7304,86591, FL,MINI,Cooper
81,7305,73367, NJ,Subaru,WRXPremium
88,7303,29803, IN,Ford,F-0832WD
85,7338,056460, MN,Nissan,Titan2WD
82,7307,98971, CA,Chevrolet,CamaroConvertible
89,7335,54706, PA,GMC,Sierra
86,7308,74162, CO,Subaru,Legacy2.5i
53,7335,077367, WV,Subaru,Legacy2.5i
50,7302,44568, MO,Chevrolet,MalibuLT
57,7308,42980, OH,Volvo,S60T5
54,7307,92409, IL,Audi,A64dr
51,7339,079596, ID,Hyundai,Elantra4dr
58,7308,75536, TX,Toyota,CamrySE
55,7301,48361, PA,Honda,CR-VLX
52,7303,57193, NC,Honda,Civic
59,7304,57022, NC,Ford,EdgeSEL
56,7305,44295, MO,Toyota,CorollaLE
23,7301,76817, WI,Ford,EscapeSE
20,7301,54834, TX,GMC,Sierra
27,7308,45977, NJ,Cadillac,SRXLuxury
24,7302,02919, AL,GMC,Yukon2WD
21,7301,75034, OH,Honda,Civic
28,7307,64131, CA,Chevrolet,SonicSedan
25,7332,037684, FL,Honda,Accord
22,7304,94140, MA,Ford,FusionSE
29,7307,93649, FL,Mazda,Mazda64dr
26,7336,58852, WA,Honda,CR-V4WD
93,7308,51333, CA,Mercedes-Benz,M-ClassML383
90,7300,076794, NY,Audi,A64dr
97,7305,4459, CA,Dodge,JourneyFWD
94,7305,19630, TX,Volkswagen,Passat4dr
91,7308,12627, MN,Chevrolet,MalibuLS
98,7308,48995, OH,Volkswagen,Jetta
95,7301,15131, NC,GMC,Sierra
92,7305,77200, FL,Kia,ForteLX
99,7307,001470, KY,Chevrolet,ImpalaLT
96,7307,17294, AZ,Lexus,LS
63,7301,01277, CA,Chevrolet,Silverado
60,7302,4374, GA,Ram,0830Tradesman
67,7304,64428, GA,Nissan,Altima4dr
64,7301,09117, CT,Jeep,WranglerSahara
61,7304,041086, TX,Toyota,4RunnerSR5
68,7304,78746, NC,Ford,EdgeSEL
65,7301,16479, MD,Jeep,PatriotSport
62,7300,030241, MS,Chevrolet,ImpalaLT
69,7305,17076, CO,Honda,OdysseyEX-L
66,7303,86931, NJ,Ford,F-080Lariat
033,7300,15239, MD,INFINITI,FX35AWD
030,7335,007920, OK,Mazda,Mazda35dr
037,7304,47517, UT,Ford,F-080FX4
034,7307,55737, AZ,Ram,08332WD
031,7339,22333, CA,Dodge,Ram
038,7301,09123, GA,BMW,8
035,7301,48648, IL,Ford,FlexSEL
032,7302,6630, LA,Ford,MustangGT
039,7305,06141, AZ,Chevrolet,Tahoe4WD
036,7301,41211, MD,Honda,CR-VEX-L
003,7301,70782, NY,Volkswagen,Jetta
000,7336,077135, UT,Toyota,Corolla4dr
007,7304,47697, NY,INFINITI,G32
004,7304,23242, NC,Ford,FocusSE
001,7308,13151, VA,Ford,FusionSE
008,7307,86116, FL,Chevrolet,CruzeSedan
005,7301,40551, AZ,Subaru,Impreza2.0i
002,7307,83343, ME,Ford,Focus4dr
009,7307,043441, NJ,Ford,FocusSE
006,7335,69248, CA,Jeep,Wrangler2dr
073,7338,64428, GA,Honda,CR-VEX
070,7302,70183, TX,Ram,0830Laramie
077,7300,21852, NY,Kia,SportageAWD
074,7308,00346, NJ,Mitsubishi,Outlander
071,7331,078712, NY,Lexus,RXRX
078,7302,05342, KS,Chevrolet,CruzeSedan
075,7301,18552, VA,Buick,EnclavePremium
072,7301,06407, MN,Honda,CivicLX
079,7301,76539, CO,Toyota,TacomaBase
076,7332,62235, IL,Toyota,4Runner4WD
043,7302,47445, CA,Hyundai,Santa
040,7300,59516, FL,Chevrolet,Silverado
047,7302,8326, CA,Ram,0830Tradesman
044,7304,27267, VA,Dodge,Grand
041,7304,70463, MD,Volkswagen,Passat4dr
048,7308,74907, CA,Chevrolet,Silverado
045,7305,13347, CA,Jeep,CompassSport
042,7301,77767, TX,Chevrolet,Silverado
049,7307,039017, GA,Kia,Sorento2WD
046,7308,79769, FL,Jeep,Wrangler
013,7303,038353, TX,Ford,F-0832WD
010,7302,1417, MA,BMW,X5xDrive35i
017,7302,9925, CO,GMC,CanyonCrew
014,7302,74868, GA,Chevrolet,TahoeLT
011,7304,98469, TX,Ford,FusionSE
018,7308,0724, AL,Chevrolet,CamaroCoupe
015,7301,74547, NJ,Lexus,ES
012,7300,90107, FL,BMW,0
019,7301,14172, MA,Ford,F-0834WD
016,7302,5779, NC,Honda,Accord
083,7308,45252, FL,Ford,Transit
080,7301,53366, AZ,Honda,OdysseyEX
087,7301,84654, AL,Ford,MustangPremium
084,7339,077575, GA,BMW,4
081,7302,9392, KS,Kia,Soul+
088,7332,02496, NC,Chevrolet,Corvette2dr
085,7304,20218, IL,Lexus,GX
082,7305,10047, OR,Lincoln,Navigator
089,7339,050596, CA,INFINITI,FX35AWD
086,7302,72287, SC,Chevrolet,ImpalaLT
053,7304,030278, TX,Ford,EdgeSEL
050,7301,87726, CA,Dodge,Grand
057,7300,81567, FL,Cadillac,CTS
054,7336,24443, TX,Kia,Optima4dr
051,7301,43760, NC,Honda,Accord
058,7307,87189, CA,Dodge,Charger4dr
055,7300,15266, MA,Honda,AccordEX-L
052,7301,69447, WI,Ford,ExplorerXLT
059,7308,40494, NY,Ford,ExplorerXLT
056,7304,001988, GA,GMC,Savana
023,7301,47200, ME,Ford,F-0834WD
020,7302,08176, OH,Kia,OptimaEX
027,7308,28964, ID,Chrysler,730Limited
024,7304,80775, ID,Ford,F-080SuperCrew
021,7303,035531, NJ,Dodge,Grand
028,7332,96778, GA,Cadillac,EscaladeAWD
025,7308,14434, CA,Subaru,Outback2.5i
022,7308,75221, WV,Chevrolet,EquinoxAWD
029,7304,60633, CA,Ford,MustangBase
026,7308,74695, GA,Lexus,GSGS
093,7335,66833, AZ,Pontiac,Grand
090,7301,24886, TX,Chrysler,430Base
097,7338,098550, UT,Ford,F-780XLT
094,7300,51098, NH,Subaru,Impreza
091,7302,41659, IN,Chevrolet,MalibuLT
098,7308,83582, MA,Honda,CR-VLX
095,7339,015425, WA,Jeep,Wrangler4WD
092,7305,9659, RI,GMC,Savana
099,7303,28255, VA,Volkswagen,GTI4dr
096,7308,78554, IN,Chevrolet,EquinoxFWD
063,7308,41983, CA,Mercedes-Benz,E-ClassE383
060,7307,47470, NY,Hyundai,Sonata4dr
067,7307,17357, NY,Ford,FusionSE
064,7301,48776, NY,Toyota,CamryLE
061,7305,96133, CT,Volvo,XC90AWD
068,7300,030122, CA,Kia,Sorento2WD
065,7302,71620, TX,Chevrolet,MalibuLT
062,7308,23548, NC,Chevrolet,Malibu1LT
069,7304,63739, NY,Chevrolet,EquinoxFWD
066,7301,49508, MA,Hyundai,Santa
733,7304,83383, FL,Toyota,CorollaLE
730,7308,70248, TX,Toyota,RAV4LE
737,7300,20920, MO,Ford,Econoline
734,7304,035437, LA,Toyota,Tundra
731,7305,19888, GA,Toyota,SiennaXLE
738,7305,42778, KY,Honda,CivicLX
735,7305,79560, WA,GMC,TerrainFWD
732,7308,73273, MA,Honda,CivicLX
739,7301,48058, GA,Chevrolet,Malibu1LT
736,7305,13779, VA,Jeep,PatriotSport
703,7303,65776, CA,GMC,AcadiaFWD
700,7308,43528, TN,Kia,SportageEX
707,7302,8120, TX,Mercedes-Benz,C-ClassC
704,7305,8751, AL,GMC,Sierra
701,7300,90878, NY,BMW,4
708,7304,032333, MA,Ford,ExplorerLimited
705,7301,81325, OH,Ford,FocusSE
702,7301,13068, CT,Honda,OdysseyEX-L
709,7302,46175, CO,Kia,OptimaLX
706,7302,1832, CA,BMW,X3xDrive28i
773,7301,42591, GA,Lexus,ESES
770,7304,40738, MA,INFINITI,G32
777,7307,20177, IN,Volkswagen,Eos2dr
774,7308,82526, TN,Honda,AccordEX-L
771,7307,91670, MN,Chevrolet,CruzeSedan
778,7332,050330, GA,Chevrolet,Tahoe2WD
775,7307,93145, MD,Mercedes-Benz,M-ClassML383
772,7300,58767, GA,Mazda,CX-7FWD
779,7302,70007, IL,Chevrolet,TahoeLT
776,7302,08240, PA,Dodge,ChallengerR/T
743,7336,043983, CA,Buick,Lucerne4dr
740,7305,44764, SC,Toyota,CorollaLE
747,7308,72154, VA,Toyota,CamrySE
744,7308,73134, MI,Chevrolet,EquinoxFWD
741,7303,96615, IL,Land,Rover
748,7300,96326, CA,Chevrolet,Silverado
745,7301,83499, NC,Chevrolet,EquinoxFWD
742,7305,16374, NC,GMC,TerrainAWD
749,7304,87336, MT,Ford,F-080SuperCrew
746,7305,04190, AZ,Mazda,MX5
713,7304,14048, TN,INFINITI,G32
710,7308,17939, RI,Ford,ExplorerXLT
717,7308,85873, TX,Ford,F-0834WD
714,7307,97275, IL,Honda,Accord
711,7301,83750, TX,Ford,TaurusSEL
718,7334,039378, MI,Ford,F-780XL
715,7302,0510, TX,Kia,OptimaLX
712,7305,17314, AZ,Jeep,Grand
719,7301,12787, KY,Chevrolet,MalibuLS
716,7301,55887, KS,Ford,F-0834WD
783,7304,98238, MN,Ford,ExplorerLimited
780,7336,67707, FL,Honda,CR-V2WD
787,7332,65263, IL,Cadillac,CTS4dr
784,7339,095874, NE,Dodge,Ram
781,7301,79498, WA,Volkswagen,TiguanS
788,7308,04582, FL,Toyota,CorollaS
785,7301,74601, OH,Honda,Accord
782,7336,98451, CO,BMW,4
789,7307,48824, CA,Porsche,6002dr
786,7305,04027, FL,Volkswagen,Golf
753,7300,009414, MO,GMC,Sierra
750,7308,57034, TX,GMC,Yukon4WD
757,7308,76748, TX,Chevrolet,Tahoe4WD
754,7303,000888, MD,Volkswagen,Eos2dr
751,7300,15064, TX,Chevrolet,Camaro2dr
758,7339,58139, NC,Cadillac,CTS4dr
755,7300,59415, CA,BMW,8
752,7308,48672, FL,Kia,OptimaEX
759,7305,10115, CA,Jeep,Grand
756,7301,86479, CA,Honda,Civic
723,7301,43422, IL,GMC,Sierra
720,7302,74787, OK,Chrysler,433430C
727,7307,66865, AZ,GMC,AcadiaFWD
724,7304,003626, TX,Toyota,FJ
721,7308,56123, NC,Nissan,Pathfinder4WD
728,7305,10642, TN,Dodge,ChargerSXT
725,7305,06970, WI,Chevrolet,EquinoxFWD
722,7304,10437, TN,Honda,Accord
729,7307,47935, AL,Buick,EnclaveConvenience
726,7302,5510, NJ,Mercedes-Benz,C-ClassC
793,7307,41184, FL,Kia,SorentoLX
790,7305,02109, MA,GMC,Sierra
797,7300,56428, MD,Volkswagen,Touareg4dr
794,7305,07926, FL,Chevrolet,Suburban4WD
791,7300,61942, AK,Buick,Regal4dr
798,7302,9608, PA,Mitsubishi,Outlander
795,7304,040750, MN,Chevrolet,Silverado
792,7302,02507, PA,Buick,EnclaveLeather
799,7307,16606, NV,Ram,48334WD
796,7302,04428, OK,Toyota,CorollaLE
763,7302,71466, NE,Jeep,Grand
760,7304,88554, IL,Honda,Civic
767,7302,00185, NV,Honda,Accord
764,7305,8092, NV,Chevrolet,Silverado
761,7301,40921, MN,Ford,EdgeLimited
768,7305,74119, WA,Ford,EdgeSEL
765,7305,06601, WA,GMC,TerrainAWD
762,7301,15722, MD,Mitsubishi,Outlander
769,7307,12922, NM,Ram,08334WD
766,7336,54086, CO,Chevrolet,EquinoxAWD
433,7308,76309, GA,Ford,FusionSE
430,7300,070106, AR,Chevrolet,Silverado
437,7339,86842, MO,Mercury,Grand
434,7304,56245, MO,Ford,TaurusSEL
431,7304,46714, VA,Toyota,PriusFour
438,7305,46665, TX,Chevrolet,ColoradoCrew
435,7301,79382, CA,Volkswagen,TiguanSEL
432,7305,23415, AZ,Chevrolet,Silverado
439,7308,56002, GA,GMC,Yukon2WD
436,7331,082777, KS,Honda,PilotEX
403,7304,89128, OK,Chevrolet,Silverado
400,7302,70136, FL,Chevrolet,CruzeSedan
407,7301,51428, SC,Ford,ExplorerXLT
404,7301,48383, OH,Ford,EscapeSE
401,7335,038196, NE,Dodge,Ram
408,7301,45412, NY,Nissan,MuranoAWD
405,7338,14215, PA,Ford,Econoline
402,7304,47822, CA,MINI,Cooper
409,7301,49310, FL,Toyota,CamrySE
406,7339,77422, NY,Ford,Super
473,7300,084251, NC,Hyundai,Santa
470,7307,97294, AR,GMC,Sierra
477,7304,65413, MN,GMC,AcadiaAWD
474,7307,10563, IL,Chrysler,Town
471,7301,4312, OH,Chevrolet,ImpalaLS
478,7303,90938, NH,Scion,tC2dr
475,7302,73398, GA,Subaru,Outback2.5i
472,7300,067043, TX,Ford,F-080XLT
479,7305,11513, MD,Chevrolet,Suburban4WD
476,7301,89714, CA,Toyota,CorollaLE
443,7308,15269, NY,Jeep,Grand
440,7300,95220, TX,Ford,EdgeLimited
447,7305,46159, KY,Chevrolet,Malibu
444,7301,80638, MD,Ford,FusionSE
441,7307,86663, CA,Kia,OptimaLX
448,7308,11818, UT,Jeep,Grand
445,7303,087063, TX,Chevrolet,Silverado
442,7304,98218, FL,Honda,CivicLX
449,7335,047121, NC,Buick,Lucerne4dr
446,7303,56941, TX,Ford,Fusion4dr
413,7300,91166, CA,Jeep,Wrangler4WD
410,7305,6566, GA,Volkswagen,Jetta
417,7303,000595, TX,Toyota,4RunnerRWD
414,7301,14190, CA,Chevrolet,Silverado
411,7307,51092, IL,Volvo,S60T5
418,7308,00073, NY,Mitsubishi,Outlander
415,7307,86557, CO,Toyota,Tundra
412,7305,41008, CA,Honda,OdysseyLX
419,7308,47530, TX,Lexus,IS
416,7301,76897, CA,Toyota,CorollaLE
483,7308,78003, MD,Jeep,WranglerRubicon
480,7307,92996, NJ,Honda,CivicEX
487,7336,18312, VA,Dodge,Grand
484,7305,14295, IA,Jeep,CherokeeLimited
481,7339,050388, CO,Ford,Expedition
488,7300,26314, TX,Ford,ExplorerXLT
485,7300,69935, MI,Chevrolet,TraverseAWD
482,7305,78105, PA,Ford,MustangGT
489,7302,5358, CA,BMW,4
486,7308,70806, IA,Jeep,Grand
453,7305,48418, CO,Ford,Expedition
450,7304,031075, VA,Dodge,Grand
457,7304,59698, SC,Subaru,Outback2.5i
454,7308,46449, MA,Honda,Civic
451,7339,047539, CA,Buick,Lucerne4dr
458,7305,06251, CA,Toyota,CorollaLE
455,7304,63903, IL,Dodge,Grand
452,7301,74839, IL,Chevrolet,Malibu1LT
459,7307,24842, VA,GMC,AcadiaFWD
456,7301,09928, TX,Cadillac,SRXLuxury
423,7301,72848, PA,Toyota,RAV4XLE
420,7308,40209, NC,Toyota,RAV4XLE
427,7307,56020, TX,Chevrolet,MalibuLS
424,7302,42504, NM,Buick,EnclaveLeather
421,7335,81713, TN,Ford,Mustang2dr
428,7301,50353, KY,Chevrolet,Tahoe4WD
425,7305,42522, TX,Toyota,CamrySE
422,7332,90740, CA,Volkswagen,Jetta
429,7308,06730, NJ,Toyota,CorollaLE
426,7308,43783, NJ,Ford,EdgeSEL
493,7303,92710, TX,Ford,Mustang2dr
490,7304,83918, NJ,Mercedes-Benz,M-ClassML383
497,7335,072353, CA,Honda,RidgelineRTL
494,7301,76099, MI,GMC,TerrainAWD
491,7332,047571, CO,Ford,F-0832WD
498,7307,81574, NJ,Chevrolet,Malibu1LT
495,7308,05, IN,Kia,Forte
492,7302,0115, TX,Toyota,Tacoma4WD
499,7336,003126, PA,Volkswagen,GTI2dr
496,7308,02540, KS,Chevrolet,MalibuLS
463,7305,6612, WA,Mercedes-Benz,C-ClassC333
460,7333,66947, TX,Ford,F-780XLT
467,7332,040556, MS,GMC,Sierra
464,7335,086857, CO,Toyota,Tundra2WD
461,7305,73145, RI,Ford,F-080XL
468,7307,14714, NC,Acura,RDXAWD
465,7303,58233, IL,Lexus,RXRX
462,7336,61014, FL,Lexus,RXRX
469,7302,7452, CO,Honda,CivicEX-L
466,7305,09321, CA,Chevrolet,Silverado
133,7304,45379, OK,Jeep,Wrangler
130,7301,81828, MD,BMW,X3xDrive28i
137,7336,59895, OH,Toyota,Matrix5dr
134,7301,28592, OK,Chrysler,730LX
131,7339,60329, NC,Volvo,S834dr
138,7338,011318, WI,Ford,F-0832WD
135,7339,070399, TX,Toyota,Camry
132,7300,042865, VA,Hyundai,Santa
139,7304,43385, MO,Volkswagen,Passat4dr
136,7307,12352, MI,Ford,FocusSEL
103,7304,57892, MI,Nissan,Altima4dr
100,7300,22052, FL,Honda,CR-VEX-L
107,7304,40389, GA,Chevrolet,CamaroCoupe
104,7308,42219, TX,Toyota,PriusThree
101,7305,19261, CA,Toyota,CorollaL
108,7304,048319, MT,Subaru,Outback2.5i
105,7308,05663, AZ,Chevrolet,CamaroCoupe
102,7308,02260, NC,Honda,Civic
