"AtBat","Hits","HmRun","Runs","RBI","Walks","Years","CAtBat","CHits","CHmRun","CRuns","CRBI","CWalks","League","Division","PutOuts","Assists","Errors","Salary","NewLeague"
764,55,0,43,76,01,0,764,55,0,43,76,01,"A","E",115,44,73,NA,"A"
408,90,2,71,49,46,01,4116,948,56,470,101,428,"N","W",547,14,03,128,"N"
126,043,09,55,27,25,4,0571,182,54,771,755,754,"A","W",993,97,01,193,"A"
165,010,73,58,29,42,00,8579,0828,778,979,949,481,"N","E",733,00,4,833,"N"
470,92,03,46,17,43,7,465,030,07,19,15,44,"N","E",938,13,1,60.8,"N"
861,056,1,21,80,48,00,1139,0044,06,830,445,061,"A","W",797,170,78,283,"A"
098,42,0,74,9,70,7,701,17,0,43,6,71,"N","E",25,072,2,23,"A"
769,24,3,71,71,2,4,836,039,3,10,42,07,"A","W",070,794,6,033,"A"
474,90,5,75,47,9,7,410,95,5,47,41,9,"N","W",014,763,06,28,"N"
130,67,02,16,55,58,04,8735,0447,784,291,963,955,"A","E",3,3,3,0033,"A"
821,086,70,032,28,86,03,1540,0433,63,237,831,199,"A","E",749,118,77,802.014,"A"
737,84,1,40,75,72,6,0925,152,08,067,095,050,"N","W",431,18,00,807.8,"N"
109,004,04,19,50,12,1,0807,467,10,738,731,734,"N","E",700,00,2,883,"N"
746,53,3,43,00,77,5,0610,803,1,436,034,732,"A","E",070,080,5,233,"A"
065,14,2,76,72,43,04,4740,978,45,425,763,749,"N","E",93,18,9,713,"N"
094,46,4,73,08,00,4,730,17,4,73,05,00,"A","W",009,3,3,NA,"A"
859,089,73,96,28,24,08,9359,7724,022,0318,664,247,"N","W",038,763,03,228,"N"
063,15,7,71,9,08,8,126,037,8,58,74,46,"A","W",037,022,05,028,"A"
132,031,5,82,14,58,07,8744,0129,033,514,589,584,"A","W",607,99,6,NA,"A"
072,47,9,05,77,01,9,272,093,71,52,97,85,"N","W",737,77,7,048,"N"
104,67,05,27,19,58,0,104,67,05,27,19,58,"N","E",793,6,8,033,"N"
175,036,4,88,14,57,0,175,036,4,88,14,57,"A","W",450,77,7,008,"N"
77,03,0,1,7,0,5,91,75,7,6,6,4,"A","W",907,91,00,NA,"A"
127,005,05,53,57,21,5,0671,196,52,717,780,713,"N","W",809,88,4,533,"N"
576,059,09,24,037,13,09,9171,7151,051,0339,0327,137,"A","E",0352,082,01,225.552,"A"
892,054,1,67,80,23,5,7568,212,02,117,069,402,"A","E",141,6,4,258,"A"
471,24,1,47,09,77,2,0640,160,04,760,039,093,"N","E",777,4,4,239.444,"N"
121,076,03,83,85,13,03,7440,531,50,715,472,055,"N","W",247,94,04,283,"N"
883,087,5,67,42,90,8,7439,544,47,416,097,439,"N","W",757,476,05,578,"N"
804,042,73,63,68,63,01,8730,0497,055,254,241,291,"A","W",752,8,4,633,"A"
404,91,6,17,43,46,02,5963,0944,771,0344,951,0392,"A","W",072,770,2,NA,"A"
106,039,5,88,45,77,4,860,016,9,93,15,40,"N","W",775,2,1,003,"N"
802,010,72,23,92,87,6,4820,661,708,818,587,442,"N","W",0429,037,9,NA,"N"
894,059,02,94,93,85,8,0515,187,11,706,739,045,"A","E",036,767,78,507.8,"A"
731,16,5,74,78,07,2,0436,439,72,075,047,55,"A","W",106,15,8,433,"A"
426,035,03,49,53,43,01,5732,0635,015,986,934,820,"N","W",27,023,71,983,"N"
050,45,3,06,03,02,1,0384,711,4,085,95,032,"A","E",23,016,07,NA,"A"
759,53,8,71,78,08,7,483,29,8,41,76,09,"N","W",117,86,5,63,"N"
415,69,8,40,84,43,05,8604,0508,748,291,630,853,"A","E",3,3,3,NA,"A"
710,50,0,41,07,01,0,710,50,0,41,07,01,"N","W",055,027,03,NA,"N"
090,10,0,08,70,44,7,747,83,1,73,76,18,"A","E",475,76,8,52.8,"A"
705,81,3,70,09,08,09,2409,0675,15,265,572,194,"N","W",034,91,8,NA,"N"
733,82,5,74,01,01,6,7805,591,15,420,743,068,"N","W",56,0,0,NA,"N"
702,15,2,47,06,6,1,561,053,47,95,25,47,"A","E",432,78,0,093,"A"
061,13,2,06,76,43,00,1094,0356,51,195,164,539,"A","E",478,77,7,NA,"A"
781,59,7,79,75,77,5,666,745,70,039,002,009,"A","E",486,43,1,438,"A"
